TMK13,TMK9,TMK_Island,TMK_Zone,TMK_Sec,TMK_Plat,TMK_Parcel,TMK_CPR
2130020120000,213002012000,2,13,00,201,2000,0
2130020140000,213002014000,2,13,00,201,4000,0
2130020140000,213002014000,2,13,00,201,4000,0
2130020150000,213002015000,2,13,00,201,5000,0
2130020160000,213002016000,2,13,00,201,6000,0
2130020170000,213002017000,2,13,00,201,7000,0
2130020180000,213002018000,2,13,00,201,8000,0
2130020210000,213002021000,2,13,00,202,1000,0
2130020250000,213002025000,2,13,00,202,5000,0
2130020310000,213002031000,2,13,00,203,1000,0
2130020320000,213002032000,2,13,00,203,2000,0
2130020330000,213002033000,2,13,00,203,3000,0
2130020340000,213002034000,2,13,00,203,4000,0
2130020350000,213002035000,2,13,00,203,5000,0
2130020390000,213002039000,2,13,00,203,9000,0
2130020420000,213002042000,2,13,00,204,2000,0
2130020440000,213002044000,2,13,00,204,4000,0
2130020500000,213002050000,2,13,00,205,0000,0
2130030090000,213003009000,2,13,00,300,9000,0
2130030090000,213003009000,2,13,00,300,9000,0
2130030120000,213003012000,2,13,00,301,2000,0
2130030130000,213003013000,2,13,00,301,3000,0
2130030150001,213003015000,2,13,00,301,5000,1
2130030150002,213003015000,2,13,00,301,5000,2
2130030160000,213003016000,2,13,00,301,6000,0
2130030160000,213003016000,2,13,00,301,6000,0
2130030160000,213003016000,2,13,00,301,6000,0
2130030200000,213003020000,2,13,00,302,0000,0
2130030280000,213003028000,2,13,00,302,8000,0
2130030380000,213003038000,2,13,00,303,8000,0
2130030430000,213003043000,2,13,00,304,3000,0
2130030470000,213003047000,2,13,00,304,7000,0
2130030500000,213003050000,2,13,00,305,0000,0
2130030540001,213003054000,2,13,00,305,4000,1
2130040020000,213004002000,2,13,00,400,2000,0
2130040030000,213004003000,2,13,00,400,3000,0
2130040040000,213004004000,2,13,00,400,4000,0
2130040050000,213004005000,2,13,00,400,5000,0
2130040060000,213004006000,2,13,00,400,6000,0
2130040060000,213004006000,2,13,00,400,6000,0
2130040080000,213004008000,2,13,00,400,8000,0
2130040080000,213004008000,2,13,00,400,8000,0
2130040080000,213004008000,2,13,00,400,8000,0
2130040080000,213004008000,2,13,00,400,8000,0
2130040100000,213004010000,2,13,00,401,0000,0
2130040100000,213004010000,2,13,00,401,0000,0
2130040130000,213004013000,2,13,00,401,3000,0
2130040140000,213004014000,2,13,00,401,4000,0
2130040140000,213004014000,2,13,00,401,4000,0
2130040220000,213004022000,2,13,00,402,2000,0
2130040220000,213004022000,2,13,00,402,2000,0
2130040220000,213004022000,2,13,00,402,2000,0
2130040220000,213004022000,2,13,00,402,2000,0
2130040220000,213004022000,2,13,00,402,2000,0
2130050100000,213005010000,2,13,00,501,0000,0
2130050100000,213005010000,2,13,00,501,0000,0
2130050140000,213005014000,2,13,00,501,4000,0
2130050150000,213005015000,2,13,00,501,5000,0
2130050160000,213005016000,2,13,00,501,6000,0
2130050170000,213005017000,2,13,00,501,7000,0
2130050170000,213005017000,2,13,00,501,7000,0
2130050180000,213005018000,2,13,00,501,8000,0
2130050190000,213005019000,2,13,00,501,9000,0
2130050200000,213005020000,2,13,00,502,0000,0
2130050220000,213005022000,2,13,00,502,2000,0
2130050220000,213005022000,2,13,00,502,2000,0
2130050230000,213005023000,2,13,00,502,3000,0
2130050240000,213005024000,2,13,00,502,4000,0
2130050240000,213005024000,2,13,00,502,4000,0
2130050250000,213005025000,2,13,00,502,5000,0
2130050270000,213005027000,2,13,00,502,7000,0
2130050320000,213005032000,2,13,00,503,2000,0
2130050330000,213005033000,2,13,00,503,3000,0
2130060020000,213006002000,2,13,00,600,2000,0
2130060040000,213006004000,2,13,00,600,4000,0
2130060040000,213006004000,2,13,00,600,4000,0
2130060050000,213006005000,2,13,00,600,5000,0
2130060060000,213006006000,2,13,00,600,6000,0
2130060080000,213006008000,2,13,00,600,8000,0
2130060090000,213006009000,2,13,00,600,9000,0
2130060090000,213006009000,2,13,00,600,9000,0
