TMK13,Bedrooms
2140030610000,1.0
2140040030000,3.0
2140040030000,4.0
2140040050000,4.0
2140040130000,1.0
2140040140000,3.0
2140040190000,4.0
2140040220012,1.0
2140040220013,1.0
2140040220014,1.0
2140040220015,3.0
2140040220017,3.0
2140040220019,3.0
2140040220021,1.0
2140040300000,2.0
2140040340000,
2140050150000,2.0
2140050160000,2.0
2140050180000,2.0
2140050190000,3.0
2140050200000,3.0
2140050220000,3.0
2140050230000,2.0
2140050230000,1.0
2140050260000,2.0
2140050260000,3.0
2140050270000,1.0
2140050330000,5.0
2140050400001,1.0
2140050400002,
2140050400003,1.0
2140050400004,1.0
2140050400005,2.0
2140050400007,1.0
2140050400008,
2140050400009,1.0
2140050400010,1.0
2140050400011,
2140050400012,
2140050400013,1.0
2140050400014,1.0
2140050400015,
2140050400016,1.0
2140050400017,1.0
2140050400018,
2140050400019,
2140050400020,1.0
2140050410000,2.0
2140050410000,0.0
2140050430000,2.0
2140050440000,3.0
2140050440000,4.0
2140050450000,2.0
2140050460000,2.0
2140050480000,2.0
2140050480000,1.0
2140050490000,4.0
2140060030000,2.0
2140060070000,2.0
2140060120000,1.0
2140060120000,2.0
2140060150000,1.0
2140060160000,3.0
2140060170000,2.0
2140060190000,3.0
2140060190000,2.0
2140060200000,3.0
2140060210000,2.0
2140060220000,2.0
2140060280000,2.0
2140060280000,1.0
2140060290000,2.0
2140060300000,2.0
2140060320000,
2140060360000,4.0
2140060400000,3.0
2140070160000,
2140080030000,1.0
2140080040000,2.0
2140080050000,2.0
2140080060000,3.0
2140080080000,3.0
2140080110000,2.0
2140080120000,2.0
2140080120000,1.0
2140080130000,4.0
2140080140000,1.0
2140080140000,1.0
2140080160000,2.0
2140080170000,2.0
2140080170000,3.0
2140080180000,3.0
2140080190000,1.0
2140080200000,2.0
2140080210000,3.0
2140080220000,3.0
2140080220000,3.0
2140080230000,3.0
2140080240000,1.0
2140080270000,2.0
2140080330000,3.0
2140080330000,1.0
2140080350000,3.0
2140080360000,2.0
2140080370000,3.0
2140080410000,2.0
2140100020000,2.0
2140100020000,
2140100060000,3.0
2140100160000,0.0
2140100180000,2.0
2140100190000,2.0
2140100200000,3.0
2140100210000,
2140100210000,2.0
2140100220002,3.0
2140100220003,
2140100220004,3.0
2140100220005,
2140100220006,3.0
2140100240000,2.0
2140100240000,3.0
2140100240000,2.0
2140100260000,3.0
2140100360000,2.0
2140110010000,2.0
2140110020000,2.0
2140110020000,0.0
2140110050000,2.0
2140110050000,1.0
2140110090000,1.0
2140110100000,3.0
2140110100000,2.0
2140110120000,1.0
2140110120000,1.0
2140110130000,
2140110130000,
2140110130000,
2140110180000,1.0
2140110220000,
2140110240000,
2140110240000,3.0
2140110260000,2.0
2140110270000,3.0
2140110290000,2.0
2140110320000,
2140110330000,2.0
2140110330000,1.0
2140110340000,1.0
2140110350000,1.0
2140110350000,2.0
2140110360000,3.0
2140110370000,3.0
2140110390000,1.0
2140110390000,
2140110410000,2.0
2140110410000,1.0
2140110440000,3.0
2140110440000,2.0
2140110450000,
2140110450000,1.0
2140110460000,2.0
2140110480000,
2140110490000,3.0
2140110490000,1.0
2140110500000,1.0
2140110500001,
2140110500001,1.0
2140110500002,
2140110510000,2.0
2140110530000,3.0
2140110540000,2.0
2140110590000,1.0
2140110600000,
2140110620000,
2140110640000,2.0
2140110670000,3.0
2140110730000,1.0
2140120040000,1.0
2140120050000,2.0
2140120050000,1.0
2140120050000,1.0
2140120080000,3.0
2140120090000,3.0
2140120100000,2.0
2140120110000,3.0
2140120110000,3.0
2140120120000,
2140120120000,3.0
2140120120000,1.0
2140120130000,3.0
2140120130000,1.0
2140120140000,1.0
2140120150000,2.0
2140120150000,3.0
2140120150000,3.0
2140120160000,3.0
2140120200000,1.0
2140130020000,3.0
